gdp_pwt_cur_o,pop_d,pop_o,hostility_level_o,hostility_level_d,common_language,polity_o,polity_d,sanction_threat,sanction_threat_trade,sanction_imposition,sanction_imposition_trade,gdp_wdi_cur_o,gdp_wdi_cap_cur_o,gdp_wdi_const_o,gdp_wdi_cap_const_o,gdp_wdi_cur_d,gdp_wdi_cap_cur_d,gdp_wdi_const_d,gdp_wdi_cap_const_d,Domain Code,Domain,Reporter Country Code,Reporter Countries,Partner Country Code,Partner Countries,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,capital_const_d,capital_const_o,capital_cur_d,capital_cur_o,gdp_pwt_const_d,gdp_pwt_const_o,gdp_pwt_cur_d
35137.19922,16.44092369,16.44092369,0,0,1,-3,-3,0,0,0,0,9129594819,556.8363181,35998401927,2195.630582,9129594819,556.8363181,35998401927,2195.630582,TM,Detailed trade matrix,10,Australia,156,New Zealand,5922,Export Value,448,Sweet corn prep or preserved,1998,1998,1000 US$,7,528826.625,528826.625,215671.9375,215671.9375,32316.54102,32316.54102,35137.19922
37199.26172,16.98326683,16.98326683,0,0,1,-3,-3,0,0,0,0,8936063723,527.3335285,37512494192,2213.681162,8936063723,527.3335285,37512494192,2213.681162,TM,Detailed trade matrix,10,Australia,156,New Zealand,5922,Export Value,448,Sweet corn prep or preserved,1999,1999,1000 US$,33,520588.5313,520588.5313,216432.2969,216432.2969,34724.88281,34724.88281,37199.26172
43236.75391,17.572649,17.572649,0,0,1,-2,-2,0,0,0,0,15285594828,872.4944916,42638834055,2433.804393,15285594828,872.4944916,42638834055,2433.804393,TM,Detailed trade matrix,10,Australia,156,New Zealand,5922,Export Value,448,Sweet corn prep or preserved,2000,2000,1000 US$,90,515457.9063,515457.9063,217199.6719,217199.6719,39094.16797,39094.16797,43236.75391
46261.9375,18.20336914,18.20336914,0,0,1,-2,-2,0,0,0,0,17812705294,982.9608993,43913671239,2423.293995,17812705294,982.9608993,43913671239,2423.293995,TM,Detailed trade matrix,10,Australia,156,New Zealand,5922,Export Value,448,Sweet corn prep or preserved,2001,2001,1000 US$,199,514938.6563,514938.6563,221730.8125,221730.8125,42965.86328,42965.86328,46261.9375
56802.92578,18.86571693,18.86571693,0,0,1,-2,-2,0,0,0,0,23552052408,1255.564045,48723474948,2597.456995,23552052408,1255.564045,48723474948,2597.456995,TM,Detailed trade matrix,10,Australia,156,New Zealand,5922,Export Value,448,Sweet corn prep or preserved,2002,2002,1000 US$,103,521208.625,521208.625,232837.25,232837.25,51902.34375,51902.34375,56802.92578
35137.19922,3.121969938,16.44092369,0,0,0,-3,5,0,0,0,0,9129594819,556.8363181,35998401927,2195.630582,3480355189,1126.683318,6933726050,2244.631092,TM,Detailed trade matrix,10,Australia,156,New Zealand,5922,Export Value,448,Sweet corn prep or preserved,2014,2014,1000 US$,7,105178.5,528826.625,52717.28516,215671.9375,15043.42676,32316.54102,14477.55469
37199.26172,3.122407913,16.98326683,0,0,0,-3,5,0,0,0,0,8936063723,527.3335285,37512494192,2213.681162,3922099471,1281.659393,7508536795,2453.631476,TM,Detailed trade matrix,10,Australia,156,New Zealand,5922,Export Value,448,Sweet corn prep or preserved,2015,2015,1000 US$,0,107866.2188,520588.5313,56153.82813,216432.2969,15638.27441,34724.88281,15107.74707
43236.75391,3.119029045,17.572649,0,0,0,-2,7,0,0,0,0,15285594828,872.4944916,42638834055,2433.804393,4348070165,1425.124849,7849421410,2572.728837,TM,Detailed trade matrix,10,Australia,156,New Zealand,5922,Export Value,448,Sweet corn prep or preserved,2017,2017,1000 US$,0,110673.0859,515457.9063,59611.55078,217199.6719,15931.50098,39094.16797,15548.48535
46261.9375,3.111005068,18.20336914,0,0,0,-2,7,0,0,0,0,17812705294,982.9608993,43913671239,2423.293995,5611492283,1846.118813,8283498400,2725.179233,TM,Detailed trade matrix,10,Australia,156,New Zealand,5922,Export Value,448,Sweet corn prep or preserved,2018,2018,1000 US$,1,113805.7109,514938.6563,64290.73438,221730.8125,16523.42188,42965.86328,16374.45801
56802.92578,3.097747087,18.86571693,0,0,0,-2,7,0,0,0,0,23552052408,1255.564045,48723474948,2597.456995,7184681399,2373.579844,8739919053,2887.378653,TM,Detailed trade matrix,10,Australia,156,New Zealand,5922,Export Value,448,Sweet corn prep or preserved,2019,2019,1000 US$,94,117607.9219,521208.625,70790.23438,232837.25,16953.07617,51902.34375,16930.92383
