gdp_pwt_cur_o,pop_d,pop_o,hostility_level_o,hostility_level_d,common_language,polity_o,polity_d,sanction_threat,sanction_threat_trade,sanction_imposition,sanction_imposition_trade,gdp_wdi_cur_o,gdp_wdi_cap_cur_o,gdp_wdi_const_o,gdp_wdi_cap_const_o,gdp_wdi_cur_d,gdp_wdi_cap_cur_d,gdp_wdi_const_d,gdp_wdi_cap_const_d
35137.19922,16.44092369,16.44092369,0,0,1,-3,-3,0,0,0,0,9129594819,556.8363181,35998401927,2195.630582,9129594819,556.8363181,35998401927,2195.630582
37199.26172,16.98326683,16.98326683,0,0,1,-3,-3,0,0,0,0,8936063723,527.3335285,37512494192,2213.681162,8936063723,527.3335285,37512494192,2213.681162
43236.75391,17.572649,17.572649,0,0,1,-2,-2,0,0,0,0,15285594828,872.4944916,42638834055,2433.804393,15285594828,872.4944916,42638834055,2433.804393
46261.9375,18.20336914,18.20336914,0,0,1,-2,-2,0,0,0,0,17812705294,982.9608993,43913671239,2423.293995,17812705294,982.9608993,43913671239,2423.293995
56802.92578,18.86571693,18.86571693,0,0,1,-2,-2,0,0,0,0,23552052408,1255.564045,48723474948,2597.456995,23552052408,1255.564045,48723474948,2597.456995
35137.19922,3.121969938,16.44092369,0,0,0,-3,5,0,0,0,0,9129594819,556.8363181,35998401927,2195.630582,3480355189,1126.683318,6933726050,2244.631092
37199.26172,3.122407913,16.98326683,0,0,0,-3,5,0,0,0,0,8936063723,527.3335285,37512494192,2213.681162,3922099471,1281.659393,7508536795,2453.631476
43236.75391,3.119029045,17.572649,0,0,0,-2,7,0,0,0,0,15285594828,872.4944916,42638834055,2433.804393,4348070165,1425.124849,7849421410,2572.728837
46261.9375,3.111005068,18.20336914,0,0,0,-2,7,0,0,0,0,17812705294,982.9608993,43913671239,2423.293995,5611492283,1846.118813,8283498400,2725.179233
56802.92578,3.097747087,18.86571693,0,0,0,-2,7,0,0,0,0,23552052408,1255.564045,48723474948,2597.456995,7184681399,2373.579844,8739919053,2887.378653
35137.19922,3.154925108,16.44092369,0,0,0,-3,-8,0,0,0,0,9129594819,556.8363181,35998401927,2195.630582,1.04337E+11,33291.41937,1.98234E+11,63251.52299
37199.26172,3.326031923,16.98326683,0,0,0,-3,-8,0,0,0,0,8936063723,527.3335285,37512494192,2213.681162,1.03312E+11,31280.78428,2.01008E+11,60861.266
43236.75391,3.507231951,17.572649,0,0,0,-2,-8,0,0,0,0,15285594828,872.4944916,42638834055,2433.804393,1.09816E+11,31567.47371,2.05899E+11,59187.20693
46261.9375,3.741931915,18.20336914,0,0,0,-2,-8,0,0,0,0,17812705294,982.9608993,43913671239,2423.293995,1.24346E+11,33499.09375,2.24019E+11,60351.14005
56802.92578,4.087931156,18.86571693,0,0,0,-2,-8,0,0,0,0,23552052408,1255.564045,48723474948,2597.456995,1.47824E+11,36333.24984,2.4545E+11,60328.32053
35137.19922,37.05745316,16.44092369,0,0,0,-3,8,0,0,0,0,9129594819,556.8363181,35998401927,2195.630582,2.84204E+11,7708.100996,3.0323E+11,8224.112827
37199.26172,37.47150803,16.98326683,0,0,0,-3,8,0,0,0,0,8936063723,527.3335285,37512494192,2213.681162,2.68697E+11,7208.371567,2.89861E+11,7776.137872
43236.75391,37.88936996,17.572649,0,0,0,-2,8,0,0,0,0,15285594828,872.4944916,42638834055,2433.804393,97724004252,2593.40415,2.58282E+11,6854.294081
46261.9375,38.30937958,18.20336914,0,0,0,-2,8,0,0,0,0,17812705294,982.9608993,43913671239,2423.293995,1.27587E+11,3349.806124,2.81106E+11,7380.467087
56802.92578,38.72869492,18.86571693,0,0,0,-2,8,0,0,0,0,23552052408,1255.564045,48723474948,2597.456995,1.64658E+11,4277.721351,3.06489E+11,7962.412309
35137.19922,3.069587946,16.44092369,0,0,0,-3,5,0,0,0,0,9129594819,556.8363181,35998401927,2195.630582,1911563665,622.7421391,4310688308,1404.32009
